strain	loc
hCoV-19_England_ALDP-14C5FE5|2021-04-03	international
hCoV-19_England_MILK-14E8C6D|2021-04-08	international
hCoV-19_England_ALDP-14B6E80|2021-03-31	international
hCoV-19_England_ALDP-14C5B1E|2021-04-02	international
hCoV-19_England_ALDP-14C987D|2021-04-01	international
hCoV-19_England_QEUH-14BD6AF|2021-04-01	international
hCoV-19_England_QEUH-14BADE9|2021-03-30	international
hCoV-19_England_ALDP-148B4DD|2021-03-27	international
hCoV-19_England_PHWC-PYBAEH|2021-03-22	international
hCoV-19_England_MILK-14FA55E|2021-04-11	international
hCoV-19_England_LOND-132C1E7|2020-12-29	international
hCoV-19_England_RAND-14E2182|2021-04-08	international
hCoV-19_England_ALDP-C8BCD0|2020-12-15	international
hCoV-19_England_CAMC-C71AB5|2020-12-16	international
hCoV-19_England_MILK-C53B2F|2020-12-12	international
hCoV-19_England_ALDP-C49A7A|2020-12-12	international
hCoV-19_England_MILK-C50120|2020-12-11	international
hCoV-19_England_CAMC-C72058|2020-12-15	international
hCoV-19_England_ALDP-C8D764|2020-12-15	international
hCoV-19_England_ALDP-BB5D71|2020-11-19	international
hCoV-19_England_OXON-F40E47|2020-12-14	international
hCoV-19_England_ALDP-C59761|2020-12-13	international
hCoV-19_England_CAMC-CB72F7|2020-12-18	international
hCoV-19_England_CAMC-BC17DE|2020-11-22	international
hCoV-19_England_CAMC-C721A0|2020-12-15	international
hCoV-19_England_ALDP-C8DA01|2020-12-15	international
hCoV-19_England_ALDP-CED47A|2020-12-17	international
hCoV-19_England_QEUH-CD0F88|2020-12-24	international
hCoV-19_England_ALDP-E2F638|2021-01-02	international
hCoV-19_England_SHEF-10CCB75|2020-12-30	international
hCoV-19_England_MILK-D7E4AA|2020-12-25	international
hCoV-19_England_BIRM-6E02E|2020-12-25	international
hCoV-19_England_MILK-F88669|2021-01-07	international
hCoV-19_England_LOND-12DB41C|2021-01-17	international
hCoV-19_England_QEUH-F8FE88|2021-01-10	international
hCoV-19_England_TFCI-26FFC04|2020-12-30	international
hCoV-19_England_MILK-102E1AC|2021-01-11	international
hCoV-19_England_LOND-1288B46|2020-12-28	international
hCoV-19_England_ALDP-10914F6|2021-01-15	international
hCoV-19_England_QEUH-109B544|2021-01-19	international
hCoV-19_England_MILK-102FA19|2021-01-12	international
hCoV-19_England_ALDP-10689DB|2021-01-16	international
hCoV-19_England_ALDP-10B68B3|2021-01-18	international
hCoV-19_England_LOND-128944A|2021-01-05	international
hCoV-19_England_MILK-118082A|2021-01-26	international
hCoV-19_England_ALDP-11286EE|2021-01-22	international
hCoV-19_England_LOND-E5353|2021-01-16	international
hCoV-19_England_ALDP-118502D|2021-01-25	international
hCoV-19_England_CAMC-1063026|2021-01-15	international
hCoV-19_England_CAMC-1200AFE|2021-02-04	international
hCoV-19_England_MILK-108B5B0|2021-01-15	international
hCoV-19_England_ALDP-11BF29D|2021-01-28	international
hCoV-19_England_MILK-12705CB|2021-02-04	international
hCoV-19_England_ALDP-125C71A|2021-02-07	international
hCoV-19_England_MILK-120715C|2021-02-01	international
hCoV-19_England_MILK-125F665|2021-02-03	international
hCoV-19_England_RAND-11ED964|2021-01-29	international
hCoV-19_England_RAND-11E2440|2021-01-30	international
hCoV-19_England_RAND-11E1AC7|2021-01-30	international
hCoV-19_England_CAMC-11E9081|2021-02-03	international
hCoV-19_England_RAND-120EA2D|2021-01-27	international
hCoV-19_England_ALDP-12AB73A|2021-02-14	international
hCoV-19_England_MILK-12B5357|2021-02-15	international
hCoV-19_England_PHWC-4C3348|2021-02-01	international
hCoV-19_England_ALDP-12DA8F3|2021-02-17	international
hCoV-19_England_MILK-12B4FFA|2021-02-13	international
hCoV-19_England_QEUH-12C169B|2021-02-17	international
hCoV-19_England_QEUH-12C4416|2021-02-17	international
hCoV-19_England_MILK-12BE0A2|2021-02-16	international
hCoV-19_England_MILK-12BDDF7|2021-02-16	international
hCoV-19_England_MILK-12F7957|2021-02-19	international
hCoV-19_England_RAND-125B6A5|2021-02-06	international
hCoV-19_England_ALDP-13091FF|2021-02-21	international
hCoV-19_England_CAMC-12E9E95|2021-02-22	international
hCoV-19_England_QEUH-1301968|2021-02-22	international
hCoV-19_England_RAND-12CE77D|2021-02-13	international
hCoV-19_Northern-Ireland_RAND-12D6DF8|2021-02-12	international
hCoV-19_Northern-Ireland_RAND-11ED885|2021-01-30	international
hCoV-19_Albania_210901075|2021-01-27	international
hCoV-19_Albania_210901064|2021-01-11	international
hCoV-19_Austria_CeMM7440|2021-03-15	international
hCoV-19_env_Austria_CeMM7299|2021-04-05	international
hCoV-19_Austria_CeMM6666|2021-03-24	international
hCoV-19_env_Austria_CeMM6099|2021-03-23	international
hCoV-19_Austria_CeMM5775|2021-03-10	international
hCoV-19_Austria_CeMM4179|2021-02-12	international
hCoV-19_env_Austria_CeMM4543|2021-02-23	international
hCoV-19_Austria_MUW_1379218|2021-02-26	international
hCoV-19_Sint-Maarten_SX-RIVM-25729|2021-04-03	international
hCoV-19_Belgium_rega-4011|2021-02-25	international
hCoV-19_Belgium_Aalst-OLVZ-8024017|2021-03-16	international
hCoV-19_Belgium_ULG-13944|2021-03-26	international
hCoV-19_Belgium_UZA-UA-CV2140417053|2021-03-28	international
hCoV-19_Belgium_rega-5237|2021-03-12	international
hCoV-19_Belgium_ULG-12486|2021-02-17	international
hCoV-19_Belgium_UZA-UA-31105837|2021-03-10	international
hCoV-19_Belgium_ULG-11584|2021-01-19	international
hCoV-19_Belgium_UZA-UA-CV2008519483|2021-04-04	international
hCoV-19_Belgium_UZA-UA-CV2065081803|2021-03-19	international
hCoV-19_Belgium_ULG-11967|2021-02-02	international
hCoV-19_Belgium_UZA-UA-CV2153907127|2021-04-12	international
hCoV-19_Belgium_rega-2198|2021-01-11	international
hCoV-19_Bulgaria_21BG-NC_001028_Run6|2021-03-08	international
hCoV-19_Bulgaria_21BG-EU_000684_Pl7|2021-02-28	international
hCoV-19_Bulgaria_21BG-EU_000200_Pl3|2021-02-09	international
hCoV-19_Bulgaria_21BG-NC_001032_Run6|2021-03-09	international
hCoV-19_Bulgaria_21BG-EU_553_Pl6|2021-02-23	international
hCoV-19_Bulgaria_21BG-EU_000857_Pl9|2021-03-04	international
hCoV-19_Bulgaria_21BG-NC_001707_Run8|2021-03-22	international
hCoV-19_Bulgaria_21BG-EU_000298_Pl4|2021-01-29	international
hCoV-19_Bulgaria_21BG-EU_000309_Pl4|2021-02-01	international
hCoV-19_Bulgaria_21BG-EU_000134_Pl2|2021-02-02	international
hCoV-19_Bulgaria_21BG-EU_000132_Pl2|2021-02-03	international
hCoV-19_Bulgaria_21BG-EU_000147_Pl2|2021-02-04	international
hCoV-19_Bulgaria_21BG-EU_000042_Pl1|2021-01-18	international
hCoV-19_Bulgaria_21BG-EU_000047_Pl1|2021-01-20	international
hCoV-19_Bulgaria_21BG-EU_000054_Pl1|2021-01-21	international
hCoV-19_Croatia_1022|2021-02-26	international
hCoV-19_Croatia_1104|2021-02-25	international
hCoV-19_Croatia_HRV000_355|2021-02-11	international
hCoV-19_Croatia_HRV000_356|2021-02-11	international
hCoV-19_Croatia_HRV000_56|2021-02-03	international
hCoV-19_Croatia_HRV000_83|2021-02-02	international
hCoV-19_Czech-Republic_VYS-4656|2021-02-24	international
hCoV-19_Czech-Republic_NRL-4651|2021-03-10	international
hCoV-19_Czech-Republic_NRL_2657_21|2021-02-08	international
hCoV-19_Czech-Republic_VIR-559|2021-03-11	international
hCoV-19_Czech-Republic_NRL-4404|2021-03-08	international
hCoV-19_Czech-Republic_IAB20_016_partD_56|2021-02-04	international
hCoV-19_Czech-Republic_NRL_2894_21|2021-02-15	international
hCoV-19_Czech-Republic_NRL_599|2021-01-17	international
hCoV-19_Czech-Republic_FNB14009|2021-02-14	international
hCoV-19_Czech-Republic_NRL_3210_21|2021-02-08	international
hCoV-19_Czech-Republic_NRL-4345|2021-03-05	international
hCoV-19_Czech-Republic_IAB20_016_partD_05|2021-02-03	international
hCoV-19_Czech-Republic_173822-21w|2021-03-16	international
hCoV-19_Czech-Republic_NRL-3664-21|2021-02-22	international
hCoV-19_Czech-Republic_NRL_1278_21|2021-01-18	international
hCoV-19_Czech-Republic_NRL-4208|2021-03-04	international
hCoV-19_Czech-Republic_NRL-847|2021-01-13	international
hCoV-19_Czech-Republic_NRL-3645-21|2021-02-25	international
hCoV-19_Czech-Republic_MOTOL-C2102-17601|2021-02-24	international
hCoV-19_Czech-Republic_NRL-1145|2021-01-13	international
hCoV-19_Czech-Republic_NRL_450|2021-01-09	international
hCoV-19_Czech-Republic_183052-21sc|2021-03-28	international
hCoV-19_Czech-Republic_178677-21sc|2021-03-21	international
hCoV-19_Czech-Republic_NRL_2338_21|2021-01-06	international
hCoV-19_Czech-Republic_NRL_2577_21|2021-01-26	international
hCoV-19_Denmark_DCGC-44133|2021-02-01	international
hCoV-19_Estonia_16023907|2021-03-24	international
hCoV-19_Finland_1598|2021-02-09	international
hCoV-19_Finland_1659|2021-02-10	international
hCoV-19_Finland_HEL-19-573|2021-01-25	international
hCoV-19_Finland_HEL-14-380|2021-01-22	international
hCoV-19_Finland_HEL-19-584|2021-01-25	international
hCoV-19_Finland_1676|2021-02-10	international
hCoV-19_France_BRE-IPP08498|2021-03-30	international
hCoV-19_France_PAC-HCL021019304601|2021-01-27	international
hCoV-19_France_ARA-HCL021026218501|2021-02-09	international
hCoV-19_France_ARA-HCL021042823001|2021-03-02	international
hCoV-19_France_IDF-IPP07581|2021-03-22	international
hCoV-19_France_ARA-HCL021024256901|2021-02-06	international
hCoV-19_France_PAC-IHU-3457-1|2021-02-23	international
hCoV-19_France_IDF-HMN-21032100377|2021-03-10	international
hCoV-19_France_NOR-IPP07178|2021-02-14	international
hCoV-19_France_un-21012210026|2021-01-21	international
hCoV-19_France_GES-IPP03307|2021-02-08	international
hCoV-19_France_HDF-P177-21117C2424|2021-03-21	international
hCoV-19_France_ARA-HCL021051802201|2021-03-16	international
hCoV-19_France_IDF-IPP04989|2021-03-02	international
hCoV-19_France_IDF-IPP01371|2021-01-18	international
hCoV-19_France_ARA-HCL021063257201|2021-04-05	international
hCoV-19_France_ARA-HCL021054523301|2021-03-18	international
hCoV-19_France_IDF-HMN-21032070032|2021-03-06	international
hCoV-19_France_HDF-P74-21106C0190|2021-03-13	international
hCoV-19_France_ARA-210020505901|2021-04-01	international
hCoV-19_France_IDF-HMN-21032040304|2021-03-02	international
hCoV-19_France_IDF-IPP04551|2021-03-02	international
hCoV-19_France_ARA-HCL021055573301|2021-03-24	international
hCoV-19_France_BRE-IPP08486|2021-03-30	international
hCoV-19_France_PDL-IPP04810|2021-03-02	international
hCoV-19_France_BRE-IPP03948|2020-12-30	international
hCoV-19_France_ARA-HCL021061306101|2021-03-30	international
hCoV-19_France_HDF-P358-21137C1861|2021-04-03	international
hCoV-19_France_IDF-IPP04769|2021-03-02	international
hCoV-19_France_HDF-100001877212|2021-03-10	international
hCoV-19_France_IDF-IPP01979|2021-01-23	international
hCoV-19_France_HDF-100001873812|2021-03-10	international
hCoV-19_France_GES-HMN-21032040500|2021-03-02	international
hCoV-19_France_un-HMN-21022190305|2021-02-16	international
hCoV-19_France_NAQ-HCL021062722501|2021-03-30	international
hCoV-19_France_un-HMN-21022150349|2021-02-15	international
hCoV-19_France_ARA-213001460901|2021-04-07	international
hCoV-19_France_ARA-HCL021022762801|2021-01-28	international
hCoV-19_France_HDF-100001691013|2021-02-22	international
hCoV-19_France_CVL-IPP01189|2021-01-13	international
hCoV-19_France_ARA-CHUGA-1033463327|2021-03-12	international
hCoV-19_France_IDF-IPP04929|2021-03-02	international
hCoV-19_France_IDF-HMN-21032180581|2021-03-16	international
hCoV-19_France_ARA-HCL021022758101|2021-01-28	international
hCoV-19_France_HDF-IPP03248|2021-02-04	international
hCoV-19_France_ARA-HCL021027832801|2021-02-04	international
hCoV-19_France_IDF-IPP08003|2021-03-31	international
hCoV-19_France_IDF-IPP04947|2021-03-02	international
hCoV-19_France_un-HMN-21022210047|2021-02-21	international
hCoV-19_France_PAC-IHU-4066-N1|2021-04-02	international
hCoV-19_France_NAQ-HCL021041857101|2021-03-02	international
hCoV-19_France_ARA-HCL021059548201|2021-03-30	international
hCoV-19_France_ARA-HCL021022387301|2021-01-28	international
hCoV-19_France_PAC-HCL021019144401|2021-01-27	international
hCoV-19_France_PDL-IPP06315|2021-03-16	international
hCoV-19_France_BRE-IPP06318|2021-03-16	international
hCoV-19_France_ARA-HCL021034238101|2021-02-22	international
hCoV-19_France_IDF-HMN-21032220467|2021-03-16	international
hCoV-19_France_NAQ-HCL021032053101|2021-02-16	international
hCoV-19_France_IDF-HMN-21032100320|2021-03-02	international
hCoV-19_France_ARA-HCL021027943801|2021-02-11	international
hCoV-19_France_PDL-IPP08683|2021-03-30	international
hCoV-19_France_ARA-HCL021064849601|2021-04-06	international
hCoV-19_France_IDF-IPP01434|2021-01-12	international
hCoV-19_France_NAQ-HCL021062782101|2021-03-30	international
hCoV-19_France_ARA-HCL021052217101|2021-03-16	international
hCoV-19_France_BRE-IPP08493|2021-03-30	international
hCoV-19_France_ARA-HCL021050618101|2021-03-17	international
hCoV-19_Greece_KEDY_89602|2021-03-05	international
hCoV-19_Greece_104073|2021-01-22	international
hCoV-19_Greece_EKAR_76841|2021-02-23	international
hCoV-19_Greece_EKAR_80404|2021-03-05	international
hCoV-19_Greece_10038|2021-01-19	international
hCoV-19_Greece_105694|2021-01-25	international
hCoV-19_Greece_101263|2021-01-11	international
hCoV-19_Greece_104732|2021-01-13	international
hCoV-19_Greece_94105|2021-03-21	international
hCoV-19_Ireland_D-NVRL-e85IRL55255|2021-02-10	international
hCoV-19_Ireland_KE-NVRL-e84IRL92629|2021-02-01	international
hCoV-19_Ireland_D-NVRL-e85IRL03222|2021-02-03	international
hCoV-19_Italy_ABR-IZSGC-65692|2021-02-03	international
hCoV-19_Italy_CAM-TIGEM-IZSM-COLLI-9259|2021-04-06	international
hCoV-19_Italy_CAM-TIGEM-IZSM-COLLI-5692|2021-03-06	international
hCoV-19_Italy_ABR-IZSGC-184612|2021-03-27	international
hCoV-19_Italy_CAM-TIGEM-IZSM-COLLI-8227|2021-04-01	international
hCoV-19_Italy_ABR-IZSGC-192008|2021-03-31	international
hCoV-19_Italy_CAM-TIGEM-IZSM-COLLI-7658|2021-03-26	international
hCoV-19_Italy_ABR-IZSGC-105985|2021-02-22	international
hCoV-19_Italy_APU-POLBA39|2021-03-18	international
hCoV-19_Italy_CAM-TIGEM-IZSM-COLLI-7040|2021-03-24	international
hCoV-19_Italy_ABR-IZSGC-212477|2021-04-13	international
hCoV-19_Italy_ABR-IZSGC-TE1878|2021-01-02	international
hCoV-19_Italy_LAZ-INMI-432|2021-03-26	international
hCoV-19_Italy_CAM-TIGEM-IZSM-COLLI-5472|2021-03-13	international
hCoV-19_Italy_ABR-IZSGC-152791|2021-03-12	international
hCoV-19_Italy_CAM-TIGEM-IZSM-COLLI-7228|2021-03-16	international
hCoV-19_Italy_CAM-AMES_22_89|2021-02-25	international
hCoV-19_Italy_CAM-TIGEM-IZSM-COLLI-9380|2021-04-06	international
hCoV-19_Italy_LAZ-IZSLT-21029570|2021-03-03	international
hCoV-19_Italy_EMR-051066-027-01|2021-02-03	international
hCoV-19_Italy_CAM-TIGEM-IZSM-COLLI-7857|2021-03-28	international
hCoV-19_Italy_CAM-TIGEM-IZSM-COLLI-9017|2021-04-02	international
hCoV-19_Italy_CAM-TIGEM-IZSM-COLLI-8620|2021-03-31	international
hCoV-19_Italy_UMB-IZSGC-103976_1_12|2021-02-18	international
hCoV-19_Italy_ABR-IZSGC-181513|2021-03-24	international
hCoV-19_Italy_ABR-IZSGC-374142|2020-12-30	international
hCoV-19_Italy_ABR-IZSGC-TE360214|2020-12-22	international
hCoV-19_Italy_ABR-IZSGC-39713|2021-01-22	international
hCoV-19_Italy_CAM-AMES-12-80|2021-02-19	international
hCoV-19_Italy_ABR-IZSGC-139792|2021-03-08	international
hCoV-19_Italy_CAM-TIGEM-IZSM-COLLI-9114|2021-04-05	international
hCoV-19_Italy_CAM-TIGEM-IZSM-COLLI-5518|2021-03-13	international
hCoV-19_Italy_CAM-TIGEM-IZSM-COLLI-9112|2021-04-05	international
hCoV-19_Italy_CAM-AMES_22_59|2021-02-25	international
hCoV-19_Italy_ABR-DT829|2021-02-20	international
hCoV-19_Italy_APU-IZSPB-760PT|2021-02-17	international
hCoV-19_Italy_TAA-IGA-1900460771|2021-02-08	international
hCoV-19_Italy_CAM-TIGEM-IZSM-COLLI-9502|2021-04-06	international
hCoV-19_Italy_ABR-IZSGC-211116|2021-04-12	international
hCoV-19_Italy_CAM-TIGEM-2774|2021-02-10	international
hCoV-19_Italy_ABR-IZSGC-TE373359|2020-12-29	international
hCoV-19_Italy_LAZ-INMI-343|2021-02-22	international
hCoV-19_Italy_VEN-IZSVe-20RS2299-2_TV|2020-12-20	international
hCoV-19_Italy_MOL-IZSGC-89759-1-39|2021-02-12	international
hCoV-19_Italy_CAM-AMES_22_54|2021-02-25	international
hCoV-19_Italy_ABR-IZSGC-211770|2021-04-12	international
hCoV-19_Italy_TAA-1900455748|2021-02-03	international
hCoV-19_Italy_ABR-IZSGC-TE11124|2021-01-08	international
hCoV-19_Italy_MOL-IZSGC-72053.1.8|2021-02-03	international
hCoV-19_Italy_LIG-102693219|2021-02-05	international
hCoV-19_Italy_ABR-DH887|2021-02-04	international
hCoV-19_Italy_ABR-IZSGC-373339|2020-12-29	international
hCoV-19_Italy_APU-IZSPB-671PT|2021-01-07	international
hCoV-19_Italy_ABR-IZSGC-88421|2021-02-13	international
hCoV-19_Italy_CAM-TIGEM-1670|2020-12-30	international
hCoV-19_Italy_MOL-IZSGC-89759.1.11|2021-02-12	international
hCoV-19_Italy_ABR-IZSGC-212919|2021-04-13	international
hCoV-19_Italy_ABR-IZSGC-211619|2021-04-11	international
hCoV-19_Italy_APU-POLBA11|2021-01-18	international
hCoV-19_Italy_CAM-CRGS-573|2021-01-24	international
hCoV-19_Italy_LOM-HSacco25|2020-12-24	international
hCoV-19_Italy_LOM-Pavia-VR10833|2020-12-29	international
hCoV-19_Italy_VEN-IZSVe-21RS21-1_BL|2020-12-22	international
hCoV-19_Italy_ABR-IZSGC-212176|2021-04-12	international
hCoV-19_Italy_APU-IZSPB-575PT|2021-01-15	international
hCoV-19_Italy_ABR-IZSGC-212281|2021-04-12	international
hCoV-19_Italy_ABR-IZSGC-33376|2021-01-18	international
hCoV-19_Italy_ABR-IZSGC-214123|2021-04-13	international
hCoV-19_Italy_ABR-IZSGC-212485|2021-04-13	international
hCoV-19_Italy_VEN-IZSVe-21RS247-55_VE|2020-12-24	international
hCoV-19_Italy_UMB-IZSGC-70799_1_29|2021-01-08	international
hCoV-19_Latvia_1648|2021-03-23	international
hCoV-19_Latvia_2103045704|2021-03-10	international
hCoV-19_Lithuania_IBT-LSC-VU_r04_13|2021-03-31	international
hCoV-19_Lithuania_LTU000_NMVRI56778|2021-03-22	international
hCoV-19_Lithuania_S21C189|2021-02-24	international
hCoV-19_Luxembourg_LNS5812506|2021-01-21	international
hCoV-19_Luxembourg_LNS5723444|2021-02-04	international
hCoV-19_Luxembourg_LNS8529504|2021-02-01	international
hCoV-19_Luxembourg_LNS1263109|2021-02-04	international
hCoV-19_Luxembourg_LNS8174028|2021-03-17	international
hCoV-19_Luxembourg_LNS5132467|2021-02-26	international
hCoV-19_Luxembourg_LNS5665543|2021-03-16	international
hCoV-19_North-Macedonia_34294|2021-02-12	international
hCoV-19_North-Macedonia_20775|2021-03-15	international
hCoV-19_North-Macedonia_ZMC-465|2021-01-04	international
hCoV-19_Norway_Ahus-0147|2021-03-10	international
hCoV-19_Norway_5465|2021-03-03	international
hCoV-19_Norway_5820|2021-03-04	international
hCoV-19_Norway_3249|2021-02-05	international
hCoV-19_Poland_WGS-CoV-PZH-UMB-0047|2021-03-13	international
hCoV-19_Poland_0149WSN2021_wsseol|2021-03-10	international
hCoV-19_Poland_NIPH-NIH_ECDC-313|2021-02-15	international
hCoV-19_Poland_PL_P502|2021-03-10	international
hCoV-19_Poland_NIPH-NIH_ECDC-308|2021-02-16	international
hCoV-19_Poland_NIPH-NIH_ECDC-2739|2021-03-22	international
hCoV-19_Poland_PL-P1129|2021-03-21	international
hCoV-19_Poland_NIPH-NIH_ECDC-617|2021-02-19	international
hCoV-19_Poland_NIPH-NIH_ECDC-1587|2021-03-02	international
hCoV-19_Poland_WGS-CoV-PZH-UMB-0052|2021-03-17	international
hCoV-19_Poland_NIPH-NIH_ECDC-608|2021-02-20	international
hCoV-19_Poland_PL_P241|2021-03-10	international
hCoV-19_Poland_NIPH-NIH_ECDC-1541|2021-03-05	international
hCoV-19_Poland_NIPH-NIH_ECDC-2699|2021-03-20	international
hCoV-19_Poland_NIPH-NIH_ECDC-073|2021-02-03	international
hCoV-19_Poland_NIPH-NIH-49|2021-01-25	international
hCoV-19_Poland_WGS-PZH-UMB-0157|2021-03-23	international
hCoV-19_Poland_NIPH-NIH_ECDC-1495|2021-03-04	international
hCoV-19_Poland_NIPH-NIH_ECDC-1853|2021-03-08	international
hCoV-19_Poland_WGS-CoV-PZH-UMB-0499|2021-04-01	international
hCoV-19_Poland_NIPH-NIH_ECDC-1679|2021-03-10	international
hCoV-19_Poland_PL_P800|2021-02-26	international
hCoV-19_Poland_PL-P961|2021-03-22	international
hCoV-19_Poland_0252WSN2021_wsseol|2021-03-25	international
hCoV-19_Poland_WGS-CoV-PZH-UMB-0523|2021-03-31	international
hCoV-19_Poland_PL_P328|2021-02-22	international
hCoV-19_Poland_PL_P95|2021-03-09	international
hCoV-19_Poland_NIPH-NIH_ECDC-2895|2021-03-25	international
hCoV-19_Poland_0088WSN2021_wsseol|2021-03-01	international
hCoV-19_Poland_WGS-CoV-PZH-UMB-0058|2021-03-18	international
hCoV-19_Poland_PL_P720|2021-03-11	international
hCoV-19_Poland_NIPH-NIH_ECDC-1052|2021-02-25	international
hCoV-19_Poland_0018WSN|2021-02-01	international
hCoV-19_Poland_NIPH-NIH_ECDC-277|2021-02-16	international
hCoV-19_Poland_PL_P170|2021-02-21	international
hCoV-19_Poland_NIPH-NIH_ECDC-1512|2021-03-03	international
hCoV-19_Poland_PL_P1240|2021-03-01	international
hCoV-19_Poland_NIPH-NIH_ECDC-2376|2021-03-16	international
hCoV-19_Poland_WGS-CoV-PZH-UMB-0311|2021-04-06	international
hCoV-19_Poland_NIPH-NIH_ECDC-562|2021-02-17	international
hCoV-19_Poland_WGS-CoV-PZH-UMB-0502|2021-03-31	international
hCoV-19_Poland_NIPH-NIH_ECDC-356|2021-02-08	international
hCoV-19_Poland_NIPH-NIH_ECDC-527|2021-02-19	international
hCoV-19_Poland_WGS-CoV-PZH-UMB-0337|2021-04-01	international
hCoV-19_Poland_2127724528_diag1_gx1|2021-03-29	international
hCoV-19_Poland_WGS-CoV-PZH-UMB-0449|2021-03-29	international
hCoV-19_Poland_NIPH-NIH_ECDC-542|2021-02-15	international
hCoV-19_Poland_NIPH-NIH_ECDC-318|2021-02-12	international
hCoV-19_Poland_NIPH-NIH_ECDC-231|2021-02-10	international
hCoV-19_Poland_0344WSN2021_wsseol|2021-04-10	international
hCoV-19_Poland_0359WSN2021_wsseol|2021-04-09	international
hCoV-19_Poland_0333WSN2021_wsseol|2021-04-06	international
hCoV-19_Poland_NIPH-NIH_ECDC-389|2021-02-09	international
hCoV-19_Poland_NIPH-NIH_ECDC-432|2021-02-04	international
hCoV-19_Poland_0009WSN|2021-02-03	international
hCoV-19_Poland_NIPH-NIH_ECDC-397|2021-02-08	international
hCoV-19_Poland_2142271568_gx1|2021-02-05	international
